lead_date,lead_id,partner_id,subpartner_id,subpartner_name,lost_reason,source_country_short_name,source_country,state,state_updated,city_name,country_name,partner_state,repeat,repeat_all,singular_id
"August 17, 2025","3,151,826","63,645","63,645",University College London,Booked a private accommodation,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"September 15, 2025","3,233,015","63,645","63,645",University College London,Repeat lead,AZ,Azerbaijan,lost,lost,London,United Kingdom,repeat,false,true,
"August 14, 2025","3,138,469","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"August 21, 2025","3,166,225","63,645","63,645",University College London,Parent lead already present,ID,Indonesia,lost,lost,London,United Kingdom,repeat,true,true,
"August 10, 2025","3,127,947","63,645","63,645",University College London,Parent lead already present,IR,Iran (Islamic Republic of),lost,lost,London,United Kingdom,repeat,true,true,
"August 22, 2025","3,170,314","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"August 11, 2025","3,129,731","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"August 12, 2025","3,133,070","63,645","63,645",University College London,Property/Room type got sold out,CO,Colombia,lost,lost,London,United Kingdom,not_booked,false,false,
"September 7, 2025","3,212,957","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"July 31, 2025","3,105,618","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"August 30, 2025","3,190,816","63,645","63,645",University College London,Booked on Campus,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"September 1, 2025","3,196,761","63,645","63,645",University College London,Not responded,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"October 1, 2025","3,263,106","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
